Protein name,Simulation abundance,Average degree,Average free proteins
Q9UIJ7,1041,0.0,1041.0
Q8IZH2,42,0.023809523809523808,41.0
P31930,1597,0.2542266750156543,1191.0
P04844,325,0.0,325.0
P04843,488,0.03483606557377049,471.0
P31939,370,0.0,370.0
Q9NR56,64,0.140625,55.0
Q9NR50,82,0.036585365853658534,79.0
O60841,78,0.0,78.0
Q9NWU5,208,0.0,208.0
P47897,256,0.44680851063829785,192.0
Q9HB90,164,0.47126436781609193,118.0
P61254,298,0.09060402684563758,271.0
P27694,166,0.19411764705882353,147.0
Q9BYV6,106,0.02830188679245283,103.0
P49756,58,0.034482758620689655,56.0
P59768,147,0.08053691275167785,137.0
Q9BYV2,234,0.004273504273504274,233.0
O14617,36,0.05555555555555555,34.0
Q15459,116,0.11206896551724138,103.0
P49711,45,11.760906040268456,13.0
P50552,235,0.9632107023411371,103.0
Q9UNL2,180,0.0,180.0
P51571,250,0.0,250.0
P51572,291,0.08934707903780069,265.0
Q9P0V3,40,0.2,32.0
Q5T653,124,0.0,124.0
Q9UQ90,240,0.0,240.0
Q8N4V1,108,0.0,108.0
Q9BYD6,136,0.0,136.0
Q9BYD3,99,0.020202020202020204,97.0
Q9BYD1,256,0.0,256.0
P55795,117,0.05982905982905983,110.0
P51688,95,0.0,95.0
Q07020,406,0.0,406.0
Q07021,729,0.16176470588235295,633.0
Q9NSE4,486,0.0,486.0
O75533,84,0.023809523809523808,82.0
O14492,50,0.04,48.0
P03915,533,0.0,533.0
Q9H8S9,184,0.10215053763440861,171.0
P45379,2155,0.2965197215777262,1516.0
P14854,1408,0.0,1408.0
Q08722,98,0.02040816326530612,96.0
P17612,586,4.003310977162747,16.0
Q8TEQ6,32,3.9732142857142856,15.0
Q9NQG5,68,0.014705882352941176,67.0
Q04917,503,4.4644,109.0
Q08043,70,0.4142857142857143,41.0
O00743,139,0.11510791366906475,123.0
Q9Y230,294,3.4305275875956505,33.0
P10515,923,2.9497071555895085,143.0
P07741,309,0.0,309.0
P02511,3071,2.4160594236284143,1593.0
O43157,38,0.0,38.0
P02730,451,0.189010989010989,377.0
P23297,1184,0.8272251308900523,563.0
Q7L014,38,0.15384615384615385,35.0
Q6P5Z2,72,0.0,72.0
Q6PKG0,37,1.0508474576271187,25.0
Q1KMD3,200,0.0,200.0
P09327,60,0.016666666666666666,59.0
P00918,796,0.3054187192118227,596.0
O60524,53,0.0,53.0
Q92917,81,0.0,81.0
Q15119,364,0.0521978021978022,345.0
Q15118,299,0.25732899022801303,236.0
P51991,340,0.0,340.0
P20645,148,0.0,148.0
Q9P2J5,118,0.0,118.0
P14678,186,1.574468085106383,79.0
O43852,345,0.0,345.0
Q9H845,422,0.0,422.0
Q92598,84,0.8315789473684211,38.0
Q92599,78,0.01282051282051282,77.0
P62906,405,0.0,405.0
O95996,26,0.15384615384615385,22.0
Q86VP6,190,0.28426395939086296,155.0
Q92597,236,0.22268907563025211,189.0
P04114,181,0.6954314720812182,92.0
P35232,1303,0.9198767334360555,970.0
P08697,201,0.03980099502487562,193.0
O75489,1459,0.15421521590130227,1234.0
P15924,873,0.1782065834279228,724.0
P53041,273,8.42839956690861,0.0
Q29RF7,34,0.0,34.0
Q9Y5K6,69,1.1411764705882352,24.0
P07237,930,0.19421487603305784,836.0
O60664,217,0.05069124423963134,206.0
P41240,58,0.25862068965517243,43.0
Q9Y3F4,220,0.031818181818181815,213.0
Q8TCC3,166,0.0,166.0
P17980,327,4.619771149878072,9.0
P17987,463,0.8837638376383764,243.0
Q9BXJ9,58,0.0,58.0
