Protein name,Simulation abundance,Average degree,Average free proteins
Q96QK1,439,0.10933940774487472,391.0
P06744,1149,0.0,1149.0
P06241,150,5.601194029850746,27.0
P54274,67,0.4492753623188406,42.0
Q9Y3U8,511,0.0,511.0
P00167,604,0.2611464968152866,464.0
Q8TB45,50,0.0,50.0
P62753,680,1.861549761292692,412.0
P62750,880,0.9726495726495726,452.0
P18031,151,4.7678100263852246,6.0
P22392,650,0.24205748865355523,523.0
Q92585,46,0.0,46.0
P08648,170,1.8975265017667844,78.0
Q05193,145,1.6403508771929824,82.0
O95816,444,1.496635262449529,254.0
Q14145,81,0.9263157894736842,45.0
Q14141,368,0.42377260981912146,257.0
Q8IWV7,68,0.0,68.0
Q8WVY7,208,0.0,208.0
P19634,35,1.4923076923076923,18.0
P16112,125,0.016,123.0
Q96IV0,96,0.25773195876288657,74.0
O43464,199,1.5541795665634675,91.0
P07355,1506,2.3855971479500893,659.0
P07359,108,0.40601503759398494,81.0
P62328,864,0.06697459584295612,808.0
P46821,293,0.2946708463949843,237.0
Q9UBF8,35,1.8933333333333333,19.0
O60264,225,2.890748031496063,83.0
Q9NZC7,49,0.0,49.0
Q9NZC9,33,0.0,33.0
Q96A65,241,0.11618257261410789,213.0
P36542,863,0.002317497103128621,861.0
Q9Y5K6,150,1.7447698744769875,50.0
Q9Y5K5,234,9.817737870195337,9.0
Q9Y5K8,180,0.0,180.0
P30260,71,0.4189189189189189,49.0
Q9NUG6,149,0.09271523178807947,137.0
Q9NR30,140,0.0,140.0
P49736,361,4.494404816438715,12.0
P06400,57,9.562268803945747,2.0
P06401,34,0.2571428571428571,28.0
P34949,227,0.0,227.0
Q15436,382,4.694305508092826,0.0
Q15437,115,2.6844919786096257,50.0
Q15434,72,0.0,72.0
Q8ND04,85,0.15294117647058825,72.0
Q6NVY1,400,0.0,400.0
P30084,789,0.7564668769716089,562.0
P30086,1274,0.35051546391752575,1008.0
P06746,95,0.17346938775510204,83.0
Q9Y3C6,494,0.05040322580645161,471.0
P06748,1028,4.122750381291307,192.0
Q29RF7,153,2.8723958333333335,93.0
Q96EB6,65,0.5942028985507246,32.0
P08962,116,0.16379310344827586,97.0
Q96Q27,42,0.6521739130434783,24.0
P57740,161,0.6854460093896714,79.0
O95202,251,0.0,251.0
P31689,323,0.43799472295514513,261.0
Q15047,40,0.5111111111111111,32.0
Q15046,362,0.20765027322404372,298.0
Q96S82,92,0.0,92.0
Q01780,135,2.932975871313673,41.0
P31350,71,0.14084507042253522,61.0
P18206,974,1.628118503118503,543.0
O15116,150,2.462406015037594,74.0
Q9BVA1,310,0.0,310.0
P07437,1836,0.022702702702702703,1816.0
Q9Y490,624,0.14710485133020346,567.0
Q8N4V1,233,0.0,233.0
Q8NDV7,23,0.08695652173913043,21.0
P28676,154,0.23717948717948717,123.0
Q9UGI8,342,0.0,342.0
P15941,43,1.8170731707317074,23.0
P08581,27,1.5789473684210527,16.0
Q92643,167,0.03592814371257485,161.0
P49137,240,1.0783132530120483,120.0
Q9H074,201,0.07317073170731707,190.0
P23258,354,0.0947075208913649,327.0
Q9NPQ8,293,0.22910216718266255,249.0
P20042,362,1.3019169329073483,205.0
Q9GZZ9,220,0.031818181818181815,213.0
Q9H9G7,34,0.058823529411764705,32.0
Q8IZP0,158,0.16875,137.0
Q05209,119,1.6195121951219513,85.0
P25705,1782,0.5476336816226183,1472.0
Q86TP1,224,0.16071428571428573,188.0
P0C0L4,140,0.02142857142857143,137.0
O43617,327,0.05198776758409786,310.0
O43615,283,0.0,283.0
P61916,342,0.0,342.0
P61313,567,0.04056437389770723,544.0
Q13464,166,0.3352941176470588,121.0
P11498,84,2.434285714285714,11.0
Q99417,324,0.012345679012345678,320.0
P50749,55,0.14285714285714285,50.0
Q96GC5,249,0.0,249.0
P36954,154,0.0,154.0
Q9NY33,255,0.011764705882352941,252.0
Q9UHW5,84,0.047619047619047616,80.0
Q06830,1706,0.0905373831775701,1561.0
